,Scheme Code,ISIN Div Payout/ ISIN Growth,ISIN Div Reinvestment,Scheme Name,Net Asset Value,Date
6141,150708,INF200KA19Q4,INF200KA10R1,SBI CRISIL IBX Gilt Index - April 2029 Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10.6504,24-May-2023
6142,150707,INF200KA15Q2,-,SBI CRISIL IBX Gilt Index - April 2029 Fund - Regular Plan - Growth,10.6339,24-May-2023
6143,150709,INF200KA16Q0,INF200KA17Q8,SBI CRISIL IBX Gilt Index - April 2029 Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10.6348,24-May-2023
6144,150681,INF200KA12Q9,-,SBI |CRISIL IBX Gilt Index - June 2036 Fund - Direct Plan - Growth,10.8280,24-May-2023
6145,150682,INF200KA13Q7,INF200KA14Q5,SBI CRISIL IBX Gilt Index - June 2036 Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10.8280,24-May-2023
6146,150683,INF200KA19P6,-,SBI CRISIL IBX Gilt Index - June 2036 Fund - Regular Plan - Growth,10.8098,24-May-2023
6147,150680,INF200KA10Q3,INF200KA11Q1,SBI CRISIL IBX Gilt Index - June 2036 Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10.8101,24-May-2023
6148,150711,INF200KA14R3,-,SBI CRISIL IBX SDL Index - September 2027 Fund - Direct Plan - Growth,10.5372,24-May-2023
6149,150713,INF200KA15R0,INF200KA16R8,SBI CRISIL IBX SDL Index - September 2027 Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10.5374,24-May-2023
6150,150712,INF200KA11R9,-,SBI CRISIL IBX SDL Index - September 2027 Fund - Regular Plan - Growth,10.5237,24-May-2023
6151,150710,INF200KA12R7,INF200KA13R5,SBI CRISIL IBX SDL Index - September 2027 Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10.5239,24-May-2023
6152,119827,INF200K01TE8,-,SBI NIFTY INDEX FUND - DIRECT PLAN - GROWTH,165.6825,24-May-2023
6153,119826,INF200K01TC2,INF200K01TD0,SBI Nifty Index Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),85.1007,24-May-2023
6154,102272,INF200K01537,-,SBI NIFTY INDEX FUND - REGULAR PLAN - GROWTH,158.9068,24-May-2023
6155,102273,INF200K01545,INF200K01552,SBI Nifty Index Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),81.5287,24-May-2023
6156,150673,INF200KA10P5,-,SBI Nifty Midcap 150 Index Fund - Direct Plan - Growth,10.6915,24-May-2023
6157,150675,INF200KA11P3,INF200KA12P1,SBI Nifty Midcap 150 Index Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),10.6915,24-May-2023
